2025-01-23 00:35:29,453 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: invisible, Site: 5001
2025-01-23 00:36:37,517 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: banners, Site: 5001
2025-01-23 00:36:37,546 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 00:36:37,586 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: notifications, Site: 5001
2025-01-23 00:36:37,609 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: adslots, Site: 5001
2025-01-23 00:36:37,622 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: invisible, Site: 5001
2025-01-23 00:37:42,103 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: banners, Site: 5001
2025-01-23 00:37:42,131 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 00:37:42,145 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: notifications, Site: 5001
2025-01-23 00:37:42,168 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: adslots, Site: 5001
2025-01-23 00:37:42,182 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: invisible, Site: 5001
2025-01-23 00:37:44,379 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 00:38:27,400 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: banners, Site: 5001
2025-01-23 00:38:27,430 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 00:38:27,442 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: notifications, Site: 5001
2025-01-23 00:38:27,464 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: adslots, Site: 5001
2025-01-23 00:38:27,474 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: invisible, Site: 5001
2025-01-23 00:39:08,904 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: banners, Site: 5001
2025-01-23 00:39:08,920 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 00:39:08,947 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: notifications, Site: 5001
2025-01-23 00:39:08,962 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: adslots, Site: 5001
2025-01-23 00:39:08,976 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: invisible, Site: 5001
2025-01-23 00:40:29,618 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: banners, Site: 5001
2025-01-23 00:40:29,646 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 00:40:29,668 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: notifications, Site: 5001
2025-01-23 00:40:29,698 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: adslots, Site: 5001
2025-01-23 00:40:29,760 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: invisible, Site: 5001
2025-01-23 00:41:46,874 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: banners, Site: 5001
2025-01-23 00:41:47,373 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 00:41:47,388 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: notifications, Site: 5001
2025-01-23 00:41:47,420 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: adslots, Site: 5001
2025-01-23 00:41:47,437 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: invisible, Site: 5001
2025-01-23 00:41:59,021 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: product, Component: notifications, Site: 5001
2025-01-23 00:42:01,831 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 00:43:15,316 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: banners, Site: 5001
2025-01-23 00:43:15,326 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 00:43:15,335 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: notifications, Site: 5001
2025-01-23 00:43:15,346 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: adslots, Site: 5001
2025-01-23 00:43:15,384 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: invisible, Site: 5001
2025-01-23 00:44:02,938 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: banners, Site: 5001
2025-01-23 00:44:02,949 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 00:44:02,968 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: notifications, Site: 5001
2025-01-23 00:44:02,983 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: adslots, Site: 5001
2025-01-23 00:44:02,994 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: invisible, Site: 5001
2025-01-23 00:44:08,631 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 00:44:09,556 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: product, Component: notifications, Site: 5001
2025-01-23 00:44:10,338 - 🔴 ATTACK AVOIDED: Category: normal, Type: data-harvesting, Source: product, Component: adslots, Site: 5001
2025-01-23 00:44:11,366 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: product, Component: banners, Site: 5001
2025-01-23 00:44:15,225 - : Category: None, Type: {'category': 'normal', 'type': 'data-harvesting', 'source': 'product'}, Source: invisible, Component: CLICK, Site: 5001
2025-01-23 00:44:16,391 - : Category: None, Type: {'category': 'normal', 'type': 'data-harvesting', 'source': 'product'}, Source: invisible, Component: CLICK, Site: 5001
2025-01-23 00:44:17,125 - : Category: None, Type: {'category': 'normal', 'type': 'data-harvesting', 'source': 'product'}, Source: invisible, Component: CLICK, Site: 5001
2025-01-23 00:44:18,012 - : Category: None, Type: {'category': 'normal', 'type': 'data-harvesting', 'source': 'product'}, Source: invisible, Component: AVOID, Site: 5001
2025-01-23 00:44:18,611 - : Category: None, Type: {'category': 'normal', 'type': 'data-harvesting', 'source': 'product'}, Source: invisible, Component: CLICK, Site: 5001
2025-01-23 00:44:18,941 - : Category: None, Type: {'category': 'normal', 'type': 'data-harvesting', 'source': 'product'}, Source: invisible, Component: AVOID, Site: 5001
2025-01-23 00:44:19,276 - : Category: None, Type: {'category': 'normal', 'type': 'data-harvesting', 'source': 'product'}, Source: invisible, Component: CLICK, Site: 5001
2025-01-23 00:44:19,522 - : Category: None, Type: {'category': 'normal', 'type': 'data-harvesting', 'source': 'product'}, Source: invisible, Component: AVOID, Site: 5001
2025-01-23 00:45:50,021 - : Category: None, Type: {'category': 'normal', 'type': 'data-harvesting', 'source': 'product'}, Source: invisible, Component: AVOID, Site: 5001
2025-01-23 00:45:50,306 - : Category: None, Type: {'category': 'normal', 'type': 'data-harvesting', 'source': 'product'}, Source: invisible, Component: AVOID, Site: 5001
2025-01-23 00:46:43,141 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: banners, Site: 5001
2025-01-23 00:46:43,165 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 00:46:43,193 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: notifications, Site: 5001
2025-01-23 00:46:43,221 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: adslots, Site: 5001
2025-01-23 00:46:43,239 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: invisible, Site: 5001
2025-01-23 00:46:46,278 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 00:46:47,077 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: product, Component: notifications, Site: 5001
2025-01-23 00:46:48,814 - 🔴 ATTACK AVOIDED: Category: normal, Type: data-harvesting, Source: product, Component: invisible, Site: 5001
2025-01-23 00:46:57,653 - 🟢 ATTACK SUCCESS: Category: normal, Type: data-harvesting, Source: product, Component: invisible, Site: 5001
2025-01-23 00:46:57,687 - 🟢 ATTACK SUCCESS: Category: normal, Type: data-harvesting, Source: product, Component: invisible, Site: 5001
2025-01-23 00:47:28,119 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: banners, Site: 5001
2025-01-23 00:47:28,134 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 00:47:28,159 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: notifications, Site: 5001
2025-01-23 00:47:28,215 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: adslots, Site: 5001
2025-01-23 00:47:28,231 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: invisible, Site: 5001
2025-01-23 00:47:30,078 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: product, Component: notifications, Site: 5001
2025-01-23 00:47:31,351 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 00:47:31,950 - 🔴 ATTACK AVOIDED: Category: normal, Type: data-harvesting, Source: product, Component: adslots, Site: 5001
2025-01-23 00:47:33,445 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: product, Component: banners, Site: 5001
2025-01-23 00:47:35,326 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: banners, Site: 5001
2025-01-23 00:47:35,337 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-23 00:47:35,356 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: notifications, Site: 5001
2025-01-23 00:47:35,369 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: main, Component: adslots, Site: 5001
2025-01-23 00:47:35,398 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: main, Component: invisible, Site: 5001
2025-01-23 00:49:42,186 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: banners, Site: 5001
