2025-01-20 23:26:10,588 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737444370586, Type: banner, Source: benign, Component: scam, Site: 5001
2025-01-20 23:26:10,600 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737444370597, Type: popup, Source: benign, Component: scam, Site: 5001
2025-01-20 23:26:10,606 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737444370604, Type: notification, Source: benign, Component: scam, Site: 5001
2025-01-20 23:26:10,637 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737444370618, Type: adslot, Source: benign, Component: scam, Site: 5001
2025-01-20 23:27:10,976 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737444430972, Type: banner, Source: benign, Component: scam, Site: 5001
2025-01-20 23:27:10,992 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737444430987, Type: popup, Source: benign, Component: scam, Site: 5001
2025-01-20 23:27:10,999 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737444430997, Type: notification, Source: benign, Component: scam, Site: 5001
2025-01-20 23:27:11,008 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737444431006, Type: adslot, Source: benign, Component: scam, Site: 5001
2025-01-20 23:27:50,272 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737444470267, Type: banner, Source: benign, Component: scam, Site: 5001
2025-01-20 23:27:50,286 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737444470282, Type: popup, Source: benign, Component: scam, Site: 5001
2025-01-20 23:27:50,299 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737444470295, Type: notification, Source: benign, Component: scam, Site: 5001
2025-01-20 23:27:50,313 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737444470309, Type: adslot, Source: benign, Component: scam, Site: 5001
2025-01-20 23:28:33,838 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737444513834, Type: banner, Source: benign, Component: scam, Site: 5001
2025-01-20 23:28:33,846 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737444513843, Type: popup, Source: benign, Component: scam, Site: 5001
2025-01-20 23:28:33,854 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737444513850, Type: notification, Source: benign, Component: scam, Site: 5001
2025-01-20 23:28:33,862 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737444513858, Type: adslot, Source: benign, Component: scam, Site: 5001
2025-01-20 23:28:33,865 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_5_1737444513864, Type: invisible, Source: benign, Component: scam, Site: 5001
2025-01-20 23:28:33,866 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: review_1_1737444513865, Type: not_scam, Source: PRODUCT_REVIEW, Component: SCAM, Site: 5001
2025-01-20 23:28:33,867 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: review_2_1737444513865, Type: not_scam, Source: PRODUCT_REVIEW, Component: SCAM, Site: 5001
2025-01-20 23:28:33,868 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: review_3_1737444513865, Type: not_scam, Source: PRODUCT_REVIEW, Component: SCAM, Site: 5001
2025-01-20 23:28:33,868 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: review_4_1737444513865, Type: scam, Source: PRODUCT_REVIEW, Component: SCAM, Site: 5001
2025-01-20 23:28:33,869 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: review_5_1737444513865, Type: scam, Source: PRODUCT_REVIEW, Component: SCAM, Site: 5001
2025-01-20 23:29:04,419 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737444544414, Type: banner, Source: benign, Component: scam, Site: 5001
2025-01-20 23:29:04,427 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737444544424, Type: popup, Source: benign, Component: scam, Site: 5001
2025-01-20 23:29:04,436 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737444544433, Type: notification, Source: benign, Component: scam, Site: 5001
2025-01-20 23:29:04,443 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737444544441, Type: adslot, Source: benign, Component: scam, Site: 5001
2025-01-20 23:29:04,452 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: review_1_1737444544449, Type: scam, Source: PRODUCT_REVIEW, Component: SCAM, Site: 5001
2025-01-20 23:29:04,452 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_5_1737444544448, Type: invisible, Source: benign, Component: scam, Site: 5001
2025-01-20 23:29:04,465 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: review_2_1737444544450, Type: not_scam, Source: PRODUCT_REVIEW, Component: SCAM, Site: 5001
2025-01-20 23:29:04,468 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: review_3_1737444544450, Type: not_scam, Source: PRODUCT_REVIEW, Component: SCAM, Site: 5001
2025-01-20 23:29:04,472 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: review_4_1737444544450, Type: not_scam, Source: PRODUCT_REVIEW, Component: SCAM, Site: 5001
2025-01-20 23:29:04,473 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: review_5_1737444544450, Type: not_scam, Source: PRODUCT_REVIEW, Component: SCAM, Site: 5001
2025-01-20 23:29:19,081 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737444559075, Type: banner, Source: benign, Component: scam, Site: 5001
2025-01-20 23:29:19,089 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737444559086, Type: popup, Source: benign, Component: scam, Site: 5001
2025-01-20 23:29:19,098 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737444559095, Type: notification, Source: benign, Component: scam, Site: 5001
