2025-01-11 21:41:46,103 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1736653306101, Type: banner, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:46,110 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_3_1736653306108, Type: popup, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:46,115 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_4_1736653306113, Type: notification, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:46,119 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_5_1736653306117, Type: adslot, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:46,122 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_6_1736653306121, Type: invisible, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:46,325 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1736653306322, Type: banner, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:46,333 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_3_1736653306331, Type: popup, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:46,342 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_4_1736653306340, Type: notification, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:46,349 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_5_1736653306345, Type: adslot, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:46,350 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_6_1736653306349, Type: invisible, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:46,539 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1736653306536, Type: banner, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:46,546 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_3_1736653306544, Type: popup, Source: product, Component: scam, Site: 5001
