2025-01-23 21:49:47,229 - 🟢 ATTACK SUCCESS: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 21:49:54,145 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 21:49:59,552 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: banners, Site: 5001
2025-01-23 21:49:59,560 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-23 21:49:59,567 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: notifications, Site: 5001
2025-01-23 21:49:59,578 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: main, Component: adslots, Site: 5001
2025-01-23 21:49:59,583 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: main, Component: invisible, Site: 5001
2025-01-23 21:50:15,036 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: banners, Site: 5001
2025-01-23 21:50:15,044 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-23 21:50:15,052 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: notifications, Site: 5001
2025-01-23 21:50:15,060 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: main, Component: adslots, Site: 5001
2025-01-23 21:50:15,067 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: main, Component: invisible, Site: 5001
2025-01-23 21:50:43,460 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: main, Component: banners, Site: 5001
2025-01-23 21:50:43,468 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-23 21:50:43,475 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: notifications, Site: 5001
2025-01-23 21:50:43,500 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: main, Component: adslots, Site: 5001
2025-01-23 21:50:43,507 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: main, Component: invisible, Site: 5001
2025-01-23 21:51:28,564 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-23 21:51:36,935 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: product, Component: banners, Site: 5001
2025-01-23 21:51:36,943 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 21:51:36,949 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: notifications, Site: 5001
2025-01-23 21:51:36,957 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: product, Component: adslots, Site: 5001
2025-01-23 21:51:36,962 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: product, Component: invisible, Site: 5001
2025-01-23 21:51:38,348 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 21:51:43,287 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: cart, Component: banners, Site: 5001
2025-01-23 21:51:43,295 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: cart, Component: popups, Site: 5001
2025-01-23 21:51:43,300 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: cart, Component: notifications, Site: 5001
2025-01-23 21:51:43,308 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: cart, Component: adslots, Site: 5001
2025-01-23 21:51:43,314 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: cart, Component: invisible, Site: 5001
2025-01-23 21:51:44,761 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: cart, Component: popups, Site: 5001
2025-01-23 21:52:08,319 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: main, Component: banners, Site: 5001
2025-01-23 21:52:08,327 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-23 21:52:08,334 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: notifications, Site: 5001
2025-01-23 21:52:08,341 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: main, Component: adslots, Site: 5001
2025-01-23 21:52:08,348 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: main, Component: invisible, Site: 5001
2025-01-23 21:52:09,765 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
