2025-01-23 14:27:57,705 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-23 14:27:57,714 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: notifications, Site: 5001
2025-01-23 14:27:57,725 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: main, Component: adslots, Site: 5001
2025-01-23 14:27:57,736 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: main, Component: invisible, Site: 5001
2025-01-23 14:27:58,539 - 🟢 ATTACK SUCCESS: Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-23 14:28:00,199 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-23 14:28:01,100 - 🟢 ATTACK SUCCESS: Category: normal, Type: data-harvesting, Source: main, Component: adslots, Site: 5001
2025-01-23 14:28:02,616 - 🟢 ATTACK SUCCESS: Category: normal, Type: fake-system-warning, Source: main, Component: notifications, Site: 5001
2025-01-23 14:28:04,582 - 🟢 ATTACK SUCCESS: Category: normal, Type: fake-system-warning, Source: main, Component: banners, Site: 5001
2025-01-23 14:29:30,638 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: banners, Site: 5001
2025-01-23 14:29:30,671 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-23 14:29:30,695 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: notifications, Site: 5001
2025-01-23 14:29:30,720 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: main, Component: adslots, Site: 5001
2025-01-23 14:29:30,745 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: main, Component: invisible, Site: 5001
2025-01-23 14:29:32,065 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-23 14:42:21,850 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: banners, Site: 5001
2025-01-23 14:42:21,873 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-23 14:42:21,887 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: notifications, Site: 5001
2025-01-23 14:42:21,910 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: main, Component: adslots, Site: 5001
2025-01-23 14:42:21,925 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: main, Component: invisible, Site: 5001
