2025-01-21 15:03:16,855 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737500596853, Type: popup, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:16,860 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737500596858, Type: notification, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:16,865 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737500596863, Type: adslot, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:16,868 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_5_1737500596867, Type: invisible, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:17,452 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737500597448, Type: banner, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:17,458 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737500597456, Type: popup, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:17,467 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737500597464, Type: notification, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:17,473 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737500597470, Type: adslot, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:17,476 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_5_1737500597475, Type: invisible, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:31,504 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737500611500, Type: banner, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:31,511 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737500611509, Type: popup, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:31,516 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737500611514, Type: notification, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:31,523 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737500611520, Type: adslot, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:31,526 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_5_1737500611525, Type: invisible, Source: benign, Component: scam, Site: 5001
